file_name,comment_text,stance_label
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Instructive guidelines are governed by the pupil’s background knowledge and experience, situation and environment, as well as learning goals set by the student and teacher.",Neutral
SSG-2022-report.pdf,Telangana has the highest percentage (99.4%) of Common Place/shed to store solid waste in the village and Puducherry has the lowest percentage (0%) Common Place/shed to store solid waste in the village.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,State Project Director is the nodal officer at the state level and Chief District Education Officer is the nodal officer at district.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Child census was conducted and consolidated periodically; and out of school children were mainstreamed through various interventions.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf", District-wise progress of students enrolled under section 12 (1) (c) should be tracked / monitored till completion of compulsory education.,Support
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,One more school in each state at or nearer to State Headquarters was added.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","About 65% schools charged for other facilities like school transport, computer and smart classes etc.",Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,Rajasthan (32%) has the lowest coverage rate among the more populous participating states.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Is it a transition measure or will it be a regular feature of the block?,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf", A designated authority must be appointed to maintain record of all children within the age group of 6-14 years.,Neutral
SSG-2022-report.pdf,"Feedback from Citizens (350 Marks) 349.23 Citizen Feedback - Household, Web and Mobile App (150 Marks) 149.66 Citizen Feedback – Key Informant Interviews (150 Marks) 149.57 Citizen Feedback – % of Participation (50 Marks) 50 6.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,85 5.43 Distribution of teaches as per their opinion on the sufficiency of teachers in their schools.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","The Development and Research Services (DRS) has been commissioned to undertake the sample survey and study the status of implementation of Section 12(1) (c) of the RTE Act, 2009 in Delhi, Karnataka and Madhya Pradesh.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Among all the registers only the attendance register of staff is well maintained in all the schools.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf, Sufficient computers should be provided to all the KGBVs.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"Almost all of the participating states reported that their on-site cooking facilities are equipped with storage facilities, and 68% reported that at least half of these kitchens had piped water.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","If the successful applicant fails to approach/report the school up to 31st March of the academic year for completing the formalities for admission under EWS/DG category, his candidature is cancelled.",Support
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Further, the drop -out rate was maximum (1.04%) in class 1 and minimum (0%) in all other classes.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Equally experience from different parts of the country with respect to continuous assessment needs to be fed in.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,For achieving the overall goal of the scheme it is essential that the KGBVs keep contact with all the pass outs.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,(xii) The details of students admitted in the last three years in the classes VI to VIII are as below.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,In each of the States five districts were chosen.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","As per RTE Act 2009, 25% seats in all entry levels (nursery, kindergarten and class 1) in all private schools Development and Research Services Pvt.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The budget amount was not found sufficient in certain cases.,Neutral
SSG-2022-report.pdf,"| 34 | Swachh Survekshan Grameen 2022 3. The total number of households in the village by caste groups such as SC, ST, and Others was collected.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Table 8.65 Distribution of Ex-students as per the number of years they have spent in KGBV State 1.0 2.0 3.0 4.0 >4 Total Uttar Pradesh 1 2 24 0 3 30 3.3% 6.7% 80.0% 0.0% 10.0% 100.0% Normally a girl is expected to spend three years in KGBV.,Neutral
SSG-2022-report.pdf,"First was online participation of citizens using Mobile App and Web Platform, second was feedback from Key Informants and third was from face-to-face interviews of citizens.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","If the applicant has been allotted the school, the screen will show the allotted school name.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Only one teacher has said that the condition needs improvement.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It will also help the students to enhance their general knowledge.,Neutral
SSG-2022-report.pdf,SBM (G) has achieved the seemingly impossible task of 100 percent rural sanitation coverage and transformed India into an Open Defecation Free (ODF) country in a time-bound manner during Phase I (2014-19).,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"Ten states provided dry rations (food grains) only, two states provided a FSA (cash transfers) only, and 21 states provided a combination of dry rations and a transfer for the cooking cost.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,All the hostel must have a compound wall.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"The goal of this baseline survey and future updates (planned for every two to three years in the future) is to support stakeholders to better implement, manage, document, and advocate for school meal programs.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",% Yes 7 70 7 70 14 70 No 3 30 3 30 6 30 Total 10 100.0 10 100.0 20 100.0 One of the objectives of the RTE Act is the retention of children in schools for Development and Research Services Pvt.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf, In many schools there is no permanent teacher.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Another one fourth have said that it is just good and the rest about 17 percent have said it needs improvement.,Neutral
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,The free education at HE level will boost GER of higher education in the country by allocating free merit-based seats for merit-based students which is an important highlight of NEP-2020.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"The provision of eggs has been somewhat contentious, given preferences for a vegetarian diet.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Under MP RTE Rules, Commissioner, Rajya Shiksha Kendra (RSK), who is the Mission Director of SSA, is responsible for management of elementary education at State level.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,On Tests and Examinations from girls Tests and examinations are part of evaluation methods of the performance of the students and are expected to be conducted at regular intervals.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Procedure of selection should be rigorous and transparent.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Table 2.12: Admissions in entry class in sample schools from 2015 to 2018 in Rural Delhi Year Admission taken Left Out (Without TC) Boys Girls TOTAL Boys Girls TOTAL No.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,More than three fourth of the students have said that good light is available in the class rooms.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Hence the girls contacted were asked about the level of their satisfaction on these two factors.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,There is one hostel within the school premises with separate compound and two hostels adjacent to the school one with a compound and one without a compound.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Table 2.1 given below presents their distribution by gender, educational and aided/un-aided categories.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"The KGBVs have teaching staff – full time and part time, Accountants- fulltime / part time, Assistants, Peons, Chowkidar, Head Cooks and Assistant Cooks.",Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"“Chhattisgarh tops in mid-day meal home delivery to school children during Corona crisis.” Chhattisgarh News, September 15.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Government Aided Schools performed better in Languages.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It has been seen all the 12 teachers interviewed are aware of various facilities / provisions for the girls under the scheme and all of them are also satisfied with the facilities / provisions made under the scheme.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,General Category students performed better in all the subjects in comparison to other social groups.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf, Parents could be asked to give an assurance that they will not get their daughters married before they turn 18 and that they will retain the girls in the KGBV till they complete class 8.,Neutral
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,"AGE FREQUENCY CHART 2 With respect to the current survey results, the frequency chart 2 is created out of the survey responses received from several people.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Overall drop-out rate was 0.45% (N=1105) in urban area.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It is seen 88 percent of the girls are satisfied with availability of extra-curricular activities and 73 percent were satisfied with audio visual aids.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",The Head of School was responsible for cross- verifying the eligibility of the students who applied for taking benefit under the act.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,(vi) The state has got separate bank accounts for KGBV funds.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The findings of the study revealed that the monitoring from different sources was not satisfactory.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"However, just over half (58%) of the participating states report that they ensure menstrual hygiene for female students.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf," The perception of girls, teachers, parents and community on KGBV scheme for enhancing the participation of Muslim girls.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,(viii) A Committee is constituted under Gender cell to appoint Govt teachers and vacancies are estimated and advertised.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,202 (vii) There is a specified curriculum for the training of staff and they have been trained in the past three years.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Girls’ Exposure to Bridge Course The girls who are either drop outs or those who had no formal education are admitted to appropriate classes in the KGBV schools.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf", Lack of awareness and knowledge among target groups.,Oppose
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","It also exceeds 25% in Pre-School/ Nursery level, Pre-Primary/ KG, class 1 and 3 levels in case of new admissions.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf", Seats are allotted through online lottery with the help of software developed by NIC at the Head Office.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,It would be worthwhile for states to learn from one another’s experiences in managing the mid-day meals in the context of such an emergency.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,All the schools have supplied the text books to all the students.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Not allowing any male person to the hostel promises – Providing boundary wall.,Neutral
SSG-2022-report.pdf,An online self-reporting format was developed and hosted at SSG website wherein District level office was asked to update their progress on key sanitation parameters.,Support
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Parents had to pay for uniforms and text books in all schools).,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"The toilets, bathrooms, class rooms, hostel rooms are generally kept fairly neat.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"Quality of drinking water sanitation, curriculum and teaching methods was very good in 50 to 60 % schools.",Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,School Meal Programs Around the World: Report Based on the 2019 Global Survey of School Meal Programs.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","% Yes 7 70 7 70 14 70 No 3 30 3 30 6 30 Total 10 100.0 10 100.0 20 100.0 Table 2.8: Distribution of schools, by area, that follows up with dropout studentsin Delhi List of items Distribution of schools Rural Urban Total No.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,All but one of the 12 teachers interviewed have said that they do conduct meetings to discuss issues related to schools and the study.,Oppose
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Table 4.65 Distribution of girls as per year of joining year of joining Total 2014 2015 2016 2017 2018 0 10 27 11 12 60 0.0% 16.7% 45.0% 18.3% 20.0% 100.0% It has been seen maximum number of girls contacted have joined the schools in the year 2016.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,All the schools should maintain the health records of the girls.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","1st Stage – Selection of States: Three states, namely Delhi, Karnataka and Madhya Pradesh where the study was required to be conducted had been already selected by Niti Aayog.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"Condition of health Once having seen the health records are kept in almost all the schools, the condition of health of the girls was ascertained from the KGBVs as either very good or just normal or below normal.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It has been asked from the teacher whether more than one class is taught in the same room which will indicate whether sufficient rooms are available or not.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf"," In Karnataka, Low and medium budget schools are happy to implement RTE Act in view of substantial amount of fee reimbursement to schools for children admitted under Section 12(1) (c) of the RTE Act.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"In-depth interview or key informants interview was adopted to collect information from Teachers, hostel wardens and KGBV non-teaching staff.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf", All the schools must organise an orientation and counseling programme for parents of the students given admission to help them understand the functioning of the schools and roles / responsibilities expected from parents.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",The key findings of the study are as follows: Development & Research Services Pvt.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,In all other cases the hostel was in the premises or near the premises.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It has been seen that in all the selected schools the Parent teacher Association is functioning and the performance of the girls is invariably discussed in the said meetings.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Further, maximum proportion of SCs (7.41%) in 2015; STs (10.71%) in 2018; OBCs (7.04%) in 2015; and EWS students (9.52%) in 2017 left the school without Transfer Certificates.",Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,The decentralized operations of India’s MDM allows for supplementation of food item to the centrally provided staples.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It was ascertained from each of the selected schools as to how many teachers are there possessing each of these qualification as the maximum qualification.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",99 and 2017-18 respectively; and only 2 rural schools required additional funds post reimbursement.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","2.2.1 Definitions and terms / rules for admission In Delhi, Section 12 (1) (c) of the RTE Act includes children belonging to Economically Weaker Section (EWS) and children belonging to Disadvantaged Group (DG).",Neutral
