app_name,review,rating
Diksha App,there any agxhxxxxzxxxxxxxe restrictions for using the applicationthere any age restrictions for using the application,2
Diksha App,Good 👍,5
Diksha App,z hair lo na,1
Diksha App,WERY nice app,5
Diksha App,worst app,1
Diksha App,best,5
Diksha App,government should get better teachers,2
Diksha App,Accha,5
Diksha App,it a very nice app,5
Diksha App,when I open cources the app shows update now,5
Diksha App,क्या भारत के software इंजीनियर लोगों को एक्सेसिबिलिटी देनी नहीं आती है? अगर ऐसा नहीं है तो आप लोग इसको एक्सेसिबल क्यों नहीं बनाते हैं ब्लाइंड के लिए यह बिल्कुल भी एक्सेसिबल नहीं है आप लोग क्यों नहीं इसे आसान बनाते हैं अपडेट करके और भी बेकार कर दिया है. आप लोग ऐप् को आसान बनाएं ताकि हम लोग CPD course के अपने घंटे पूरे कर सकें अगर आप लोग app को accessible बनाना नहीं जानतेज्ञ तो कृपया गूगल से कांटेक्ट करें वह आपको बताएंगे कि ऐप को एक्सेसिबल कैसे बनाया जाता है,1
Diksha App,good app⭐⭐⭐⭐⭐,5
Diksha App,app is not working,1
Diksha App,Asks for updates frequently,3
Diksha App,this app is not working because when I am open this app and a technical issue in the app,3
Diksha App,दीक्षा सतत् अधिगम का एक सहज और सरल मंच है यहाँ पर अनेक ज्ञानवर्धक और प्रेरक पाठ्यक्रम सम्बंधी कोर्सेस आसानी से और निः शुल्क सीखने को मिल रहे हैं । इससे हमारा अकादमिक और व्यावसायिक उन्नयन संभव हो सका है । धन्यवाद दीक्षा,5
Diksha App,Fix the bug for god sake,1
Diksha App,nice this app but I not like this app.,2
Diksha App,best,5
Diksha App,best app for digibook,5
Diksha App,खूपच वाईट,1
Diksha App,वीडियो की क्वालिटी सेट करने के लिए ऑप्शन दो हमारे यहां नेटवर्क नहीं रहता हैं। इस कारण परेशानी होती है। और डाटा भी अधिक जाता है। वीडियो रुक रुक कर चला कृपया थोड़ा सुधार करें।,4
Diksha App,nice,4
Diksha App,very glitches in this application,1
Diksha App,ai feature will not properly response in some time and app needs to speed up for current time competation still good option,4
Diksha App,overall good i just have a problem I update it whenever it requires but still next time not even a week within I again have to update it and why do I need to log in every time and not all resources are shown sometimes its just blank,2
Diksha App,I had a very bad experience,1
Diksha App,very very nice 🙂 app bro 😁,5
Diksha App,such a slow app no matter if you complete a course it won't show that the course is completed and people can't even ask for help there. Even if this is a government app atleast fix the bugs and modify the app.,2
Diksha App,nice,5
Diksha App,good,5
Diksha App,good,5
Diksha App,it is doesn't open,1
Diksha App,ಓಪನ್ ಮಾಡಕ್ ಆಗ್ತಾ ಇಲ್ಲ,1
Diksha App,"why I am unable to download the application. I tried for the last 1/2 hr, I think their is a problem in the application",1
Diksha App,very nice app for the learning of the students,4
Diksha App,it hangs every minute,1
Diksha App,"so irritating app ,some functions are not work properly 👎👎",1
Diksha App,nice अप्प,4
Diksha App,This app has worst videos and some videos are not opening also this app is not work good since I have redmi A3x new phone and also says network error,1
Diksha App,very good👍👍,5
Diksha App,"Before this app used to work good but now it is showing"" no data found""",1
Diksha App,The Diksha app became even more nonsensical than before. The video of the course in the app does not proceed even after watching it several times.,2
Diksha App,it is benefitial to think about any problem and also useful in solving the same,3
Diksha App,"Dear Diksha Support Team, My diksha app is not working. it is giving me an error in courses. I am unable to complete any course. Please help me.",1
Diksha App,"इस बार का अपडेट बहुत ही बेकार है पहले वाला अपडेट लाइए 🙏🙏 किताब फुल स्क्रीन पर दिखता भी नहीं है, फुल स्क्रीन करने में दिक्कत आता है, हम अलग अलग कक्ष की पुस्तक को एक ही साथ नहीं पढ़ पाते हैं। जब एक पेज को फुल स्क्रीन पर करते हैं तो दूसरा पेज आता नहीं है पहले वाले पेज को छोटा करना पड़ता है तब दूसरा पेज ओपन होता है please इस चीज को ठीक कीजिए जल्दी। 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",4
Diksha App,ver y nice app for school work,5
Diksha App,very nice app,5
Diksha App,it's not installed in my phone,5
Diksha App,DIKSHA is best platform for education,5
Diksha App,मेरी कक्षा 5 की किताब को बोल रहे हैं अंक जगत मगर ए नहीं रही है सरकारियों की प्लीज उसको चालू कर दीजिए,2
Diksha App,the app doesn't get open quickly takes too much time to open and I can't study using this app,2
Diksha App,This app is very useful app.,5
Diksha App,good app for education,5
Diksha App,गुड,5
Diksha App,vry helpful,5
Diksha App,super,5
Diksha App,l can't use the QR code scanner and when I click continue something gets copy and I don't know how to sign up form Google when wherever l was clicked on the sing up something gets copy please develop the app nicely,1
Diksha App,good,1
Diksha App,વાવ,2
Diksha App,good,5
Diksha App,no use waste app I thought it is too but not is it right 🤬🤬,1
Diksha App,super aap this aap is read and learn to book scaner 👍 thanks i am naitik. prajapati i. live in surajana naya mp 14 in mandsour 🙏💐🌹🌹🌹🌹💐😊😊👌👌👌👌👌👌🤑👌👌🤑👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌😍😍😍👌😍👌👌👌😍😍👌👌👌,5
Diksha App,ok,5
Diksha App,it has came first I open means update came I have did after it all changea,1
Diksha App,good aap 👍🏻👍🏻👍🏻,5
Diksha App,this app is not supporting visually impaired this app is not supporting TalkBack option and also improve the accessibility features in this app,2
Diksha App,the app was so good,5
Diksha App,this app when you use you will get network problem and when you use to see the video you have need more MB while you are watching toll platform is good but network is not good even you use airtel or Jio network is always low,1
Diksha App,Kindly make this app suitable for Android 8 also. This app is not compatible with Android 8.,4
Diksha App,unable to login through the option because of an error: login with state system > Rajasthan > unable to connect to the remote server,1
Diksha App,excellent service,5
Diksha App,last few months I cant open the CPD traning for the teachers ... what can i do. please give a solution. If I open the link its not entering the Diksha app. If I type the course name in the app also it was not available ..,1
Diksha App,raj Sharma yah aap bahot acha hi,4
Diksha App,good app for educational purposes,5
Diksha App,awesome app,5
Diksha App,I am trying to open it but it's not opening.,1
Diksha App,10yeard,5
Diksha App,not working now what I have to do,5
Diksha App,Diksha app is a very helpful for students 👍👍,5
Diksha App,This app is very good for all the students.,5
Diksha App,nice app,5
Diksha App,please help me,1
Diksha App,स्टेट सिस्टम से लोगइन नही हो रहा है।,1
Diksha App,"At first many formalities were asked which is okay as I was new to the app. but when these were over, a pop up type message came in front of me saying do you agree to terms and conditions. as as a responsible citizen I red and agreed but still the would not open. the loading option comes and disappears. nothing else. I want to do MCQ of the AI session that NCERT has recently started.",1
Diksha App,this update is pathetic. I don't like this update and want the previous version. why the books of high school and intermediate are gone?,1
Diksha App,quite new to me .,5
Diksha App,it's not opening itself,1
Diksha App,Good,5
Diksha App,very nice app,5
Diksha App,nice,5
Diksha App,fhaltu app,1
Diksha App,bad,1
Diksha App,👍🏻👍🏻 Good,2
Diksha App,it is very useful to students,5
Diksha App,good,5
Diksha App,nice and very good app I like this app,5
Diksha App,1- एक से अधिक अकॉउंट मर्ज कैसे होंगे ?,1
Diksha App,It's very helpful for both teachers and students 😊,5
Diksha App,bhut badiya app he aap bhi 1 baar check kre or review bhi de taki or logo ko help mil sake pdai me,5
Diksha App,Usefull,5
Diksha App,nice,1
Diksha App,best app for teachers and learners,5
Diksha App,💯💯‼‼‼‼‼‼‼💯🤣💔🙏🙏😆,5
Diksha App,so bad 😞😞😔,1
Diksha App,i don't know what is the problem with this app it was such an annoying app because it was not coming to open such a irritating app with 0 use if we want know what is the use of this app atleast we have to use the app but after logging also it was not working. it wasted my time and data,1
Diksha App,जब नये पद्धति का पुस्तक प्रकाशित किया जा चुका है तों उनके उत्तर को ४ महिनों में भी नहीं डाल सके इस ऐप मे।,1
Diksha App,one of the worst apps some textbooks are not displaying from Andhra Pradesh board,1
Diksha App,very bad,1
Diksha App,"Really helpful app for teachers and students! It's easy to use, and the content is well-organized. Great for online learning and training.",5
Diksha App,very good 👍 👏 👌,5
Diksha App,"Diksha Book वाकई शानदार है! ✨ इसमें concepts clear हैं, language आसान है और examples भी exam-oriented हैं। 12th science के students के लिए ये book एकदम helpful साबित होती है। 🔥 Suggestion: बस एक ही कमी है — notes की थोड़ी कमी महसूस होती है। अगर short notes या summary add कर दी जाए, तो ये book पूरी तरह perfect बन जाएगी! 📖💫",5
Diksha App,bhavika,5
Diksha App,very nice app Diksha,4
Diksha App,good,5
Diksha App,more usefully,5
Diksha App,it is good app for students that's nay opinion,4
Diksha App,kharab aap,1
Diksha App,Good App 😀👍❤️‍🩹🥀🤪,5
Diksha App,outstanding,5
Diksha App,This app is not working in My 65 interactive Display Please provide a solution.So that I can use this app for teaching my students.,3
Diksha App,good but I want that app for my studies please,5
Diksha App,worst app. there is no content related to any chapter in this board it's not useful at all .how to use this app while content not provide whenever I use it I don't get any content,1
Diksha App,"after Latest app Update, Login issue. Login again and again. everytime you open App, do login Login again and again. please solve Login issue.",1
Diksha App,this app is very nice for learning but I think devloper was sleeping while making this app. because the app is sead me to complete my profile and when went there was no save button in personal profile and app is not allowing me to study 😔,4
Diksha App,"The app is best for students & teachers, like learn and trainings.",5
Diksha App,"It's a good app for teachers, but many of its videos and other content are not working and showing errors, even when I'm using the latest version.",3
Diksha App,iam doing 21vi Sadi ke kaushal cource by scert Uttarakhand but when going at mid evaluation of 2nd module self awareness and giving correct answer but showing 0/5 marks every time and showing try again. please solve it.,1
Diksha App,Very bad app 🤬🤬🤬,1
Diksha App,"the content of app is very helpful but the problem is that the app is very slow often it takes too much time to play a small video, this makes the app useless sometimes.",1
Diksha App,amazing,5
Diksha App,"Earlier, this app was better working, but after updates, it totally changed and the whole digital text books of the Bihar board has gone missing. Too irritating app.",1
Diksha App,very useful for me,4
Diksha App,I Rate this app 1000/1000,5
Diksha App,Excellent,5
Diksha App,This app was amazing before update. After update it become worst.,1
Diksha App,best digital platform,5
Diksha App,maha ghatia appp,1
Diksha App,this app is very nice 👍☺️👌,5
Diksha App,in recent update everytime I am getting logged out,5
Diksha App,𝒑𝒖𝒔𝒑𝒂𝒍𝒂𝒕𝒂,5
Diksha App,Explore more class text book at a time is missing please update,3
Diksha App,1)ola app was very very good. 2)updated app is very very third class 3)login not work properly 4)I already registered but I can't login 5)old app provided all class and all subject material and videos But new updated aap provide selected class materials. so old app was very very good. that's why i want uninstall this app and unregistered,1
Diksha App,best app,5
Diksha App,Padhne ke liye yah bahut hi acha app hii,5
Diksha App,excellent flatform,5
Diksha App,not working properly all the time.,2
Diksha App,bad,1
Diksha App,थ ल लव. ल थ द र ल. म य त्ऋ त घ ढ म,5
Diksha App,did everybody3,5
Diksha App,Rihan,5
Diksha App,help,5
Diksha App,verybad,1
Diksha App,मै दीक्षा अप्प को बहुत समय से प्रयोग कर रही हूँ लेकिन जो नई अपडेट आयी हैं वो बिलकुल ही बकवास हैं। आशा करती हूँ की दीक्षा का पुराना version भी विकल्प मे होगा।,1
Diksha App,useless app made by education department. non of the work sheets open or download after the recent update,1
Diksha App,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,5
Diksha App,good,3
Diksha App,It is very nice app.It is very useful for teachers.,5
Diksha App,"Self evaluation option in SBA Training is not working. App is having many glitches. Not able to open the app. 08.10.2025 Login with state system (For Rajasthan Teachers) is not working. Please make necessary updates as the site is not rajsmsa, it is rajshaladarpan.rajasthan.gov.in now.",1
Diksha App,"This is a very bad app. The old version was good, but I have to login again and again. This is a very bad app. The old version was good, but I have to login again and again. It works the same way 👎🏻👎🏻",1
Diksha App,i am learning now,5
Diksha App,ye pura kharab app hai mat use karo kyu open kiya ye hi nhi samajta band kardena chahiye is app ko,1
Diksha App,do not open,1
Diksha App,This is very very bad app. When I am sign in it doesn't sign in and telling me that my network is bad. So now I am going to uninstall. So this is my review,1
Diksha App,विद्यार्थांना शिकवण्यासाठी खुप उपयुक्त ॲप आहे,5
Diksha App,good platform sabhi yaha se hi sabhi subjects free me padhe,5
Diksha App,Very good app,5
Diksha App,"The DIKSHA App is an excellent platform for both teachers and students. It is user-friendly, with clear and appropriate instructions that are easy to follow. The app is highly accessible, and the quality of content—both video and audio—is superb. The language used throughout the platform is appropriate and effectively conveys the intended concepts. The theoretical content is well-structured and easy to understand, making it an effective tool for enhancing the teaching and learning experience.",5
Diksha App,"""A Great Platform for Digital Learning!"" I've been using the DIKSHA app for a few months now, and it's a fantastic tool for both teachers and students. The content is aligned with the NCERT curriculum, and the lessons are presented in a simple and engaging way. What I appreciate the most is the availability of resources in multiple Indian languages, making it accessible to a wide audience. The QR code scanning feature in textbooks is very convenient, and the video lessons are high quality.",5
Diksha App,"I'm a teacher and I've been using the Diksha app regularly. It's very helpful for completing trainings and accessing quality teaching resources. The app is easy is use, and everything works smoothly. Thank you to the team for creating such a useful platform.",5
Diksha App,"DIKSHA is a great learning platform that offers quality educational content for teachers and students. It’s easy to use, available in many languages, and helps improve teaching and learning skills.",5
Diksha App,"finally I got to login, but the content I was looking for was not there, kindly upload drawing subject content please.",3
Diksha App,good,4
Diksha App,it doesn't open the video it show error please cheat it,5
Diksha App,सबसे gatiya aap hai bekar ka banaya hai,1
Diksha App,good,5
Diksha App,waste,1
Diksha App,very good day for me,5
Diksha App,good 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,5
Diksha App,It takes tooo much time to load. Make it fast. It is half term over and still content is not uploaded for sanskrit subject. It's new subject this year. If no content then what's use of this app.,1
Diksha App,"It is not working like before....facing lot of problem..after signing in also, between the lesson it is stopping and asking to sign in again....I'm uninstalling this...very bad experience",5
Diksha App,these app very slow,1
Diksha App,faltu aise kuchh fayda nahin is cheez ka pata nahin kya kya chij ki permission mangti rahti hai yah app mat download karo,1
Diksha App,very bad not loading properly and very laggy pls fix,1
Diksha App,very interesting,5
Diksha App,mast app,5
Diksha App,The worstt don't have explanation of the chapter when we scan and in McQ it is loading at 75percent fix this problem,1
Diksha App,nice,5
Diksha App,they are just launch app but content is not available on this platform... which is unprofessional thing...,1
Diksha App,Best app for Teacher Thanks DIKSHA ___,5
Diksha App,sometime it doesn't give an actual videos to related about topic. sometime is not related to our chapter that we search. it is good for study but not at well,3
Diksha App,"My profile is already updated, but during the course it still asks me to update it.",4
Diksha App,very nice,5
Diksha App,ek number app ha,5
Diksha App,Best For Learning,5
Diksha App,best experience with the help of this app,5
Diksha App,This app is fully waste of time because it has no content or data for classes ncert this app was very bad don't download it,1
Diksha App,ಹೈ,5
Diksha App,This is a biggest nonsense app,1
Diksha App,This app is good for students,5
Diksha App,superb 🙏🏼,2
Diksha App,Nice and beneficial for teachers.,4
Diksha App,good,5
Diksha App,good,5
Diksha App,is not working properly tried many times to login but .... it's not responding,1
Diksha App,good,5
Diksha App,very use les app,5
Diksha App,worst,1
Diksha App,good,5
Diksha App,very good application,5
Diksha App,"It is good help for everyone knows anything, it's good for students and teachers to learn more about any subject s.",4
Diksha App,unable to login with state system,1
Diksha App,so beautiful and nice app,2
Diksha App,my pride,5
Diksha App,app is not supporting in my phone to complete the SLD course,1
Diksha App,good,5
Diksha App,It is very useful app for every children and teacher,5
Diksha App,Good initiative. But you guys need to work on user interface.,3
Diksha App,very nice aap,5
Diksha App,excellent,5
Diksha App,this app is very bad. this is not working😑.,1
Diksha App,Nice 👍🙂,5
Diksha App,I am studying for general compition,5
Diksha App,dise spp are helful,5
Diksha App,best,5
Diksha App,it's so worst and weird that I just login now and its asking password you need improvement for sure or else. no one will use this app,1
Diksha App,it was a really good using this,5
Diksha App,It is very helpful app for students and teachers to explain the concept,5
Diksha App,very very bad because i have high speed network but when I entered in app and select my board and class it is not corresponding I am trying from 15 minutes till not responding very very irritating,1
Diksha App,good,4
Diksha App,bahut achha app,5
Diksha App,this is so usefull,5
Diksha App,nice 🙏🙏🙏🙏❤️❤️❤️❤️,5
Diksha App,didn't find usefull,1
Diksha App,no use app not working busy lodding worst app,1
Diksha App,super app diksha,5
Diksha App,worst app in the world everything is laging in 32gb ram computer,1
Diksha App,that good and imaging,5
Diksha App,not open video very slow,1
Diksha App,diksha app is a very nice app so good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 very helpful app,5
Diksha App,I really didn't liked this app,1
Diksha App,I love you dikha app yah bahut achha app hai,5
Diksha App,😘😘🥰,5
Diksha App,nice,5
Diksha App,it's very good,5
Diksha App,I think it is best for all,5
Diksha App,login or register hi nhi hota h kyu banaya g ghatiya app,1
Diksha App,wow! wow! wow! how much useful app,5
Diksha App,"worst app its main purpose is to give money to the controctor, not useful for single student as it will take 15 mins to load not compatible for anoriod getting text book is harder than writing exam. main purpose is to keep students away to the app and to discourage pepole to download it..",1
Diksha App,good,5
Diksha App,thse is good too write the notes,5
Diksha App,bhut achha,5
Diksha App,❤️❤️❤️❤️❤️❤️😮,5
Diksha App,state system login option is not working for Uttar Pradesh,1
Diksha App,nice🤩,5
Diksha App,Vishesh Kumar,5
Diksha App,good reading notes,5
Diksha App,👌mkp,5
Aarogya Setu,erro to login why I couldn't understand,2
Aarogya Setu,very baddddd,1
Aarogya Setu,verry bed service,2
Aarogya Setu,stopped working now. another one of those govt brainwaves that go down the gutter. future of Sanchar Sathi. All noise,1
Aarogya Setu,it doesn't install another mobile,1
Aarogya Setu,app not working,1
Aarogya Setu,worest,1
Aarogya Setu,nice,5
Aarogya Setu,"App crashing after location permission, then after entering mobile number, it's unable to login.",1
Aarogya Setu,very bad koi bhi govt hospital ki report open nhi hoti hai,1
Aarogya Setu,having problem in login is the error,1
Aarogya Setu,Unable to use the app because its crashed on the very first page,1
Aarogya Setu,Nice and best app,5
Aarogya Setu,awesome 👍,5
Aarogya Setu,🥰 Very Nice App 🥰 ...,5
Aarogya Setu,bad,1
Aarogya Setu,ekdam bakwas app hai open hi nahi hota hai,1
Aarogya Setu,"Not able to proceed when I click ""I Agree"" since 3 days. when I put mobile number, it shows ""error logging you in"". what's wrong with the application? Update- another week passed, and the issue is not resolved.",1
Aarogya Setu,nahi chahiye,1
Aarogya Setu,unable to login... kindly support,1
Aarogya Setu,not working,1
Aarogya Setu,can't login by mobile number it is showing something is error...,1
Aarogya Setu,unable to login app after updating plz help,3
Aarogya Setu,I can not even log in,1
Aarogya Setu,"This app is not working. Tried better and better connectivity network,",1
Aarogya Setu,FALTU AAP KONI BANAVALA BE,1
Aarogya Setu,Worst app that I have ever used. I can't even login,1
Aarogya Setu,not able to open my account at all,1
Aarogya Setu,love it,5
Aarogya Setu,dumbass app,1
Aarogya Setu,nice app,5
Aarogya Setu,bakwas,1
Aarogya Setu,"This app logs out occassionally and then always gives error for login with mobile number. The error says - There is some error logging you in. Where as we input correct number, but error is consistent and we also tried logging with many other phone numbers of family members and friends, on their respective devices. Everyone facing the same logging issue. Please check",1
Aarogya Setu,not able to log in through the app,1
Aarogya Setu,"Worst app in the world, they are not able to fix login problem for last 5 years. Does Indian government doesn't pay them or are they corrupted to their core. Please fix these small bugs.",1
Aarogya Setu,I cannot log in app.. Please fix it,5
Aarogya Setu,showing error while logging in,1
Aarogya Setu,not interested.,1
Aarogya Setu,This App Has An Log In Issues For Past 4 years But Still Having Same issue 😶😕 This Is Called Government App 🤔,1
Aarogya Setu,log in problem ho raha hai,1
Aarogya Setu,Most useful.,5
Aarogya Setu,fail to login mobile no not get when login,3
Aarogya Setu,Good,5
Aarogya Setu,Very nice app,5
Aarogya Setu,Indian aap,5
Aarogya Setu,",z DX a",5
Aarogya Setu,👎💔,1
Aarogya Setu,unable to login due to technical issues,1
Aarogya Setu,"not accepting mobile number, login issue",1
Aarogya Setu,not working no logging app,1
Aarogya Setu,ok,5
Aarogya Setu,Great 👍,5
Aarogya Setu,"Resoected Sir/Madam, Previously Arogya Setu working well but now when I submit my phone No , it did not working after that.",5
Aarogya Setu,cannot login,1
Aarogya Setu,"Error login even after multiple tries. If the app is used as reference for international purposes, it should run smoothly.",1
Aarogya Setu,I'm not login my account,1
Aarogya Setu,does not work. error logging in. worthless,1
Aarogya Setu,"worst app when i installed it it started on off on off my screen and not giving to type my mobile number, i think developed by 10 th class student",1
Aarogya Setu,"Sir, I am facing login problem. My mobile number doesn't accept and show ' some error ' 😭😭",1
Aarogya Setu,veery bad service,1
Aarogya Setu,"Experiencing ""some error logging you in"". Nothing seems to fix it. Major inconvenience.",1
Aarogya Setu,Government need to enhance their apps to provide better connectivity these apps have login error also trouble in login. there are so many coders web developers government need to use their own peoples to make better connectivity,1
Aarogya Setu,There is some error trying logging you. This is coming inthe red words when i try to log in with my mobile number.,1
Aarogya Setu,I see a lot of bugs while launching the app. It is not taking the mobile number at the same time it is falling,1
Aarogya Setu,❤️,5
Aarogya Setu,unable to login,1
Aarogya Setu,not submitted mobile number for use of application,1
Aarogya Setu,"hi sir, is this service stopped. we were regularly using this it was really helpful",4
Aarogya Setu,"can't even start always the same error while Login there is some error logging you in, useless app",1
Aarogya Setu,useless,1
Aarogya Setu,cannot enter details. phone keyboard continuously up and down,1
Aarogya Setu,tik hui,5
Aarogya Setu,There is some error logging you in- after entering mobile number and hitting the submit button can't even log in Best part is the Developer Never responds to any feedback,1
Aarogya Setu,app is not letting me log in using my mobile number. It says something went wrong.,1
Aarogya Setu,log in problem,1
Aarogya Setu,useless no use login error,1
Aarogya Setu,Login issue,1
Aarogya Setu,First Covishield was done on 4th March and second one on 15th April but still only provisional certificate is issued,5
Aarogya Setu,unable to login. says some error in logging in. but not other option to resolve. please take initiative,1
Aarogya Setu,bad experience,1
Aarogya Setu,stopped working,1
Aarogya Setu,not working,1
Aarogya Setu,this app glitch slow n error no response from server,1
Aarogya Setu,*No improvement at all in last 5 years. Read my post sent below. After submitting a number you do not send OPP to registered mobile !! Wonder !!!* Contributing button does not work. So one cannot register himself or herself. By mistake if we come in contact will the alarm ring ? What way it will inform ? Arogya setu is not working. 3/4 days ago it was working. Definitely some virus has infected the app itself. Please rectify urgently.,2
Aarogya Setu,worst app. login problem,1
Aarogya Setu,not working,1
Aarogya Setu,not work at all.idk why ?,1
Aarogya Setu,unable to log in,1
Aarogya Setu,not working,1
Aarogya Setu,Very nice,5
Aarogya Setu,not working in 2025 i am unable to download my vaccine certificate.,1
Aarogya Setu,it simply doesn't allow login after agreeing to terms and conditions,1
Aarogya Setu,"Right now ,I need my vaccination certificated and i am not able to log in this app ,why?",1
Aarogya Setu,not working,1
Aarogya Setu,i am unable to login using mobile number and same things happen with my husband and other family members.,3
Aarogya Setu,every time when try to login error,1
Aarogya Setu,"this app is not providing proper service to their users I can't even login into app after agreed to location and T&C the app ask to enter the mob no. but after that i am getting an error message ""there is some error logging you in"" How to login now? please see into it and resolve asap",1
Aarogya Setu,it is not working at all pathetic service no one available on phone support.is this digital India or joke?,1
Aarogya Setu,government Ne is app ko band kar diya aur covin wale website ko bhi band kar diya hai,1
Aarogya Setu,remove the login glitch,1
Aarogya Setu,don't download plz 🙏,1
Aarogya Setu,Horrible. Didn't expect this from this Government.,1
Aarogya Setu,jab se aaya tab se ab tak login error hi sahi nhi hua pta nhi govt kese aap develop kerti hai,1
Aarogya Setu,unable to login.,1
Aarogya Setu,app is not open,1
Aarogya Setu,always down,1
Aarogya Setu,"this app allways issue show ""thee is some error login you in "" I try 3 month regular but same issues show all time .wrost app 😡😡",1
Aarogya Setu,App is unable to send OTP and I am not able to login in the APP.,4
Aarogya Setu,App is not working,1
Aarogya Setu,App crashes after agreeing to the terms and conditions.,1
Aarogya Setu,"सहस्त्र कोटि चरणस्पर्श,, प्रणाम,, शुभकामनाएं एवं बधाई!!",5
Aarogya Setu,not working at all,1
Aarogya Setu,worst app previously i signed up with my number here but now I am not able to login as well as not able signup total waste of time,1
Aarogya Setu,most useless app man I can't even log in why india cannot make a proper one app,1
Aarogya Setu,I don't like it when I try to log in and it says error,1
Aarogya Setu,Login problem,3
Aarogya Setu,worst app 5 year mee aaj tk server thik nhi hua always showing error,1
Aarogya Setu,never accept a 10 digit number very poor service,1
Aarogya Setu,trash application. it doesn't open. the government only makes people fool.,1
Aarogya Setu,I am unable to logging in aarogya setu app for a long time,1
Aarogya Setu,"I am getting problem while logging in this app many times, error comes again and again",1
Aarogya Setu,not working,1
Aarogya Setu,not working,1
Aarogya Setu,it's not working seems nowadays. I downloaded again and it's not accepting mobile number also and says error occurs,1
Aarogya Setu,not able to login error show.. there is some error login you,1
Aarogya Setu,good,5
Aarogya Setu,"not able login, tried so many times. pls help",1
Aarogya Setu,app hi oepn nhi ho raha hai,1
Aarogya Setu,Login problem,1
Aarogya Setu,Application crashes whenever tried to login at the point when mobile no is asked for login .,3
Aarogya Setu,this app is not work login issue please check the problems and resolve,1
Aarogya Setu,There is some error logging you in I- I keep getting this message. It doesn't say what error or how I can fix it.,1
Aarogya Setu,not able to login with mobile number pls help and fix,1
Aarogya Setu,facing problem in login,2
Aarogya Setu,very nice,4
Aarogya Setu,i am unable to login,1
Aarogya Setu,very bad aap,1
Aarogya Setu,not able to login,1
Aarogya Setu,wrost app can't login into app,1
Aarogya Setu,login error 😞,1
Aarogya Setu,This app crashes suddenly and shows errors when I try to log in.,1
Aarogya Setu,sorry,1
Aarogya Setu,what a nonsense and buggy app why does all govt apps are not working,1
Aarogya Setu,not able to login,1
Aarogya Setu,worst app cant even login at first,1
Aarogya Setu,Good 👍,5
Aarogya Setu,if it is discontinued why is it still here. doesn't work anyways.,1
Aarogya Setu,worst app don't open always shown error,1
Aarogya Setu,very bad in log in disgusting,1
Aarogya Setu,Please fix your servers first,1
Aarogya Setu,good work app,5
Aarogya Setu,sucks,1
Aarogya Setu,ok,3
Aarogya Setu,we have experience error in logging up please fix this issue 😔,1
Aarogya Setu,unable to login,1
Aarogya Setu,fails to even start,1
Aarogya Setu,My name is Vandana . I'm from Karnataka.I'm not able use arogya setu app because it's showing logging in problem. I hope that you will solve my problem as soon as possible.,3
Aarogya Setu,is app doesn't even login to the actual homepage,1
Aarogya Setu,"useless app, it goverment app and not working",1
Aarogya Setu,Waste,1
Aarogya Setu,good,4
