policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,comment_text,stance_label,sentiment_label
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Madurai,key_informant,Interview – NGO Leader,student,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Varanasi,focus_group,FGD with Panchayat,official,Funds are not reaching remote habitations.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,citizen_interview,Interview – Teacher,investor,Admission procedures are confusing for new applicants.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Lucknow,focus_group,FGD with SMC,parent,Community mobilization meetings changed parents' attitudes.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Udaipur,survey_report,Survey – School Meals,citizen,RTE opened the doors of good private schools for poor children.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Haryana,Rohtak,survey_report,Swachh Bharat Survey,investor,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Delhi,New Delhi,key_informant,Interview – District Coordinator,NGO_rep,People have accounts but many do not understand the conditions.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Madhya Pradesh,Indore,focus_group,FGD with Girls,citizen,Women report better dignity after toilets were built.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Haryana,Rohtak,focus_group,FGD with Girls,parent,Rural schools lack infrastructure for the new curriculum.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Coimbatore,survey_report,Survey – School Meals,NGO_rep,Flexible subject choices will help students.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Lucknow,key_informant,Interview – Education Officer,student,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Bhopal,citizen_interview,Interview – Parent,investor,Menu is simple; children want more variety.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Madurai,focus_group,FGD with SMC,parent,The programme is active only on paper in our cluster.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Bhopal,citizen_interview,Interview – Community,investor,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Varanasi,key_informant,Interview – District Coordinator,official,Rural schools lack infrastructure for the new curriculum.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Lucknow,key_informant,Interview – NGO Leader,citizen,Parents feel proud that their children study in reputed schools.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Karnataka,Mysuru,focus_group,FGD with Mothers,citizen,Admission procedures are confusing for new applicants.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Tamil Nadu,Chennai,focus_group,FGD with Girls,parent,RTE opened the doors of good private schools for poor children.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Madurai,key_informant,Interview – NGO Leader,student,People have heard about NEP but details are unclear.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Assam,Udalguri,citizen_interview,Interview – Teacher,teacher,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Haryana,Rohtak,survey_report,Survey – School Meals,investor,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,New Delhi,focus_group,FGD with SMC,official,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Varanasi,survey_report,Survey Report – RTE,investor,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Jaipur,citizen_interview,Interview – Teacher,teacher,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Lucknow,citizen_interview,Interview – Student,investor,Awareness is improving but habits change slowly.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Mysuru,focus_group,FGD with Mothers,investor,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Udaipur,key_informant,Interview – Headmaster,parent,Cleanliness drive reduced open defecation in our village.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Jaipur,survey_report,KGBV Field Evaluation,NGO_rep,Some KGBVs need urgent repairs.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Coimbatore,citizen_interview,Interview – Student,headmaster,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Karnataka,Mysuru,survey_report,KGBV Field Evaluation,NGO_rep,Flexible subject choices will help students.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Indore,citizen_interview,Interview – Teacher,teacher,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,key_informant,Interview – Headmaster,headmaster,Cleanliness drive reduced open defecation in our village.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Madhya Pradesh,Indore,survey_report,Survey Report – RTE,headmaster,The long lock-in period makes the scheme impractical for many families.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Delhi,South Delhi,focus_group,FGD with Mothers,headmaster,People have accounts but many do not understand the conditions.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Varanasi,focus_group,FGD with Mothers,student,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,girl_student,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Jaipur,citizen_interview,Interview – Student,parent,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Chhattisgarh,Raipur,survey_report,Survey Report – RTE,NGO_rep,Life skills sessions should be more frequent.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Mysuru,focus_group,FGD with Panchayat,student,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Tamil Nadu,Chennai,citizen_interview,Interview – Parent,teacher,Cleanliness drive reduced open defecation in our village.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Chennai,key_informant,Interview – Headmaster,teacher,Some KGBVs need urgent repairs.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,survey_report,Swachh Bharat Survey,headmaster,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Coimbatore,citizen_interview,Interview – Teacher,headmaster,Staff vacancies create pressure on existing wardens.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Madhya Pradesh,Bhopal,focus_group,FGD with Panchayat,investor,The long lock-in period makes the scheme impractical for many families.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,survey_report,Swachh Bharat Survey,girl_student,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Tamil Nadu,Coimbatore,focus_group,FGD with SMC,NGO_rep,Admission procedures are confusing for new applicants.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Karnataka,Mysuru,citizen_interview,Interview – Parent,citizen,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Madhya Pradesh,Indore,focus_group,FGD with Mothers,student,People have accounts but many do not understand the conditions.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Coimbatore,key_informant,Interview – Headmaster,girl_student,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,key_informant,Interview – Headmaster,student,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Bhopal,survey_report,Swachh Bharat Survey,girl_student,Monitoring should be strengthened at village level.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Jaipur,key_informant,Interview – Education Officer,student,The programme is active only on paper in our cluster.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,student,Many toilets are unused due to water shortage.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Bengaluru Urban,key_informant,Interview – NGO Leader,NGO_rep,Children from poor families depend on the meal for nutrition.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Lucknow,survey_report,KGBV Field Evaluation,official,Parents feel proud that their children study in reputed schools.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Chhattisgarh,Raipur,survey_report,Survey – School Meals,girl_student,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Chennai,citizen_interview,Interview – Student,student,Staff vacancies create pressure on existing wardens.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Madhya Pradesh,Bhopal,key_informant,Interview – NGO Leader,official,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Delhi,New Delhi,citizen_interview,Interview – Teacher,investor,Some KGBVs need urgent repairs.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,key_informant,Interview – NGO Leader,girl_student,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,survey_report,Survey – School Meals,girl_student,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Lucknow,citizen_interview,Interview – Parent,student,Awareness is improving but habits change slowly.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Bengaluru Urban,key_informant,Interview – Education Officer,investor,Women report better dignity after toilets were built.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,key_informant,Interview – NGO Leader,investor,Funds are not reaching remote habitations.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Bhopal,citizen_interview,Interview – Community,parent,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Madhya Pradesh,Indore,key_informant,Interview – Education Officer,investor,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Rajasthan,Udaipur,citizen_interview,Interview – Teacher,headmaster,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Udaipur,citizen_interview,Interview – Community,official,Monitoring should be strengthened at village level.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Madhya Pradesh,Bhopal,citizen_interview,Interview – Parent,NGO_rep,Awareness is improving but habits change slowly.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Uttar Pradesh,Varanasi,citizen_interview,Interview – Student,official,Mid-day meals increased attendance in our school.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Coimbatore,key_informant,Interview – Education Officer,NGO_rep,People have heard about NEP but details are unclear.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Chennai,focus_group,FGD with Mothers,parent,Life skills sessions should be more frequent.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Delhi,New Delhi,focus_group,FGD with SMC,NGO_rep,Reimbursement delays make implementation difficult.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,citizen_interview,Interview – Parent,investor,Cleanliness drive reduced open defecation in our village.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,survey_report,Survey Report – RTE,NGO_rep,Implementation roadmap is unclear at ground level.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Bengaluru Urban,key_informant,Interview – NGO Leader,student,Kitchen facilities are insufficient.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Udaipur,key_informant,Interview – Education Officer,headmaster,Some KGBVs need urgent repairs.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Assam,Udalguri,key_informant,Interview – District Coordinator,headmaster,Reimbursement delays make implementation difficult.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Tamil Nadu,Coimbatore,focus_group,FGD with Mothers,citizen,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Haryana,Rohtak,survey_report,Survey – School Meals,official,Rural schools lack infrastructure for the new curriculum.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Jaipur,citizen_interview,Interview – Parent,investor,Cleanliness drive reduced open defecation in our village.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Chhattisgarh,Raipur,key_informant,Interview – NGO Leader,investor,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Chennai,survey_report,NPEGEL Impact Study,girl_student,Mid-day meals increased attendance in our school.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Udaipur,survey_report,NPEGEL Impact Study,girl_student,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,survey_report,Survey – School Meals,parent,Cleanliness drive reduced open defecation in our village.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Haryana,Rohtak,survey_report,Survey Report – RTE,parent,Implementation roadmap is unclear at ground level.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,focus_group,FGD with Panchayat,NGO_rep,Cleanliness drive reduced open defecation in our village.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Chhattisgarh,Raipur,survey_report,KGBV Field Evaluation,teacher,Implementation roadmap is unclear at ground level.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,focus_group,FGD with SMC,girl_student,Community mobilization meetings changed parents' attitudes.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Varanasi,citizen_interview,Interview – Parent,citizen,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Lucknow,survey_report,Survey Report – RTE,NGO_rep,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Jaipur,survey_report,NPEGEL Impact Study,parent,The programme has potential if monitoring improves.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Mysuru,citizen_interview,Interview – Parent,investor,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,key_informant,Interview – Headmaster,investor,Funds are not reaching remote habitations.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Rajasthan,Jaipur,focus_group,FGD with Girls,official,People have heard about NEP but details are unclear.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Chhattisgarh,Raipur,focus_group,FGD with Girls,student,The long lock-in period makes the scheme impractical for many families.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Haryana,Rohtak,survey_report,NPEGEL Impact Study,official,The programme has potential if monitoring improves.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Varanasi,key_informant,Interview – Education Officer,teacher,Admission procedures are confusing for new applicants.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Varanasi,citizen_interview,Interview – Student,teacher,The programme has potential if monitoring improves.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Haryana,Rohtak,survey_report,Swachh Bharat Survey,girl_student,Flexible subject choices will help students.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,key_informant,Interview – Education Officer,parent,Funds are not reaching remote habitations.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Haryana,Rohtak,survey_report,NPEGEL Impact Study,headmaster,The long lock-in period makes the scheme impractical for many families.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Lucknow,citizen_interview,Interview – Community,official,Life skills sessions should be more frequent.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Delhi,New Delhi,focus_group,FGD with Girls,girl_student,KGBV hostel allows girls from remote villages to continue education.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,official,Flexible subject choices will help students.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Delhi,New Delhi,focus_group,FGD with Mothers,student,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Madurai,citizen_interview,Interview – Parent,NGO_rep,Funds are not reaching remote habitations.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Jaipur,survey_report,Survey Report – RTE,girl_student,Funds are not reaching remote habitations.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Chhattisgarh,Raipur,focus_group,FGD with Mothers,investor,Mid-day meals increased attendance in our school.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Udaipur,focus_group,FGD with Mothers,headmaster,Mid-day meals increased attendance in our school.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Karnataka,Mysuru,citizen_interview,Interview – Community,girl_student,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Madurai,survey_report,NPEGEL Impact Study,headmaster,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Coimbatore,citizen_interview,Interview – Community,official,Results depend on funding and coordination.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Udaipur,key_informant,Interview – NGO Leader,NGO_rep,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Karnataka,Bengaluru Urban,citizen_interview,Interview – Parent,investor,Awareness is still low in many neighbourhoods.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Jaipur,key_informant,Interview – NGO Leader,citizen,Staff vacancies create pressure on existing wardens.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Uttar Pradesh,Lucknow,survey_report,Survey – School Meals,NGO_rep,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Lucknow,survey_report,Survey – School Meals,official,Reimbursement delays make implementation difficult.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Chhattisgarh,Raipur,survey_report,NPEGEL Impact Study,investor,KGBV hostel allows girls from remote villages to continue education.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,key_informant,Interview – Headmaster,parent,Community mobilization meetings changed parents' attitudes.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Coimbatore,focus_group,FGD with SMC,parent,Children from poor families depend on the meal for nutrition.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Assam,Udalguri,survey_report,Swachh Bharat Survey,investor,The programme has potential if monitoring improves.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Lucknow,citizen_interview,Interview – Parent,citizen,The programme has potential if monitoring improves.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Rajasthan,Udaipur,key_informant,Interview – Education Officer,teacher,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Lucknow,focus_group,FGD with Mothers,investor,Community mobilization meetings changed parents' attitudes.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Haryana,Rohtak,citizen_interview,Interview – Community,girl_student,Reimbursement delays make implementation difficult.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Karnataka,Mysuru,focus_group,FGD with Girls,NGO_rep,Community mobilization meetings changed parents' attitudes.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Varanasi,key_informant,Interview – District Coordinator,citizen,Awareness is improving but habits change slowly.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Bhopal,survey_report,Swachh Bharat Survey,headmaster,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
