file_name,comment_text,stance_label,word_count,policy_domain,app_name,package_name,rating,policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,sentiment_label,cleaned_comment_text
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the survey team tried to find out whether such bridge courses have been conducted or not in the selected kgbvs,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,73 were very much satisfied and 28 were just satisfied with the up keep of common areas,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,however more than 80 percent of the current as well as ex students have said that they have basic working knowledge of the computers,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,having found whether a doctor is attached to the kgbv or not further it was probed how often the doctor s visit the kgbv for the health check up or other issues,against,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,few with non formal education area also admitted,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,among the ex students only about 53 percent were sharing the accommodation,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",type of information that state governments collected on rte portal included tuition fee cost of text books uniforms learning material number of available development research services pvt,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",instructive guidelines are governed by the pupil s background knowledge and experience situation and environment as well as learning goals set by the student and teacher,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,telangana has the highest percentage 99 4 of common place shed to store solid waste in the village and puducherry has the lowest percentage 0 common place shed to store solid waste in the village,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,state project director is the nodal officer at the state level and chief district education officer is the nodal officer at district,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",child census was conducted and consolidated periodically and out of school children were mainstreamed through various interventions,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",district wise progress of students enrolled under section 12 1 c should be tracked monitored till completion of compulsory education,for,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,one more school in each state at or nearer to state headquarters was added,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",about 65 schools charged for other facilities like school transport computer and smart classes etc,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,rajasthan 32 has the lowest coverage rate among the more populous participating states,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,is it a transition measure or will it be a regular feature of the block,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",a designated authority must be appointed to maintain record of all children within the age group of 6 14 years,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,feedback from citizens 350 marks 349 23 citizen feedback household web and mobile app 150 marks 149 66 citizen feedback key informant interviews 150 marks 149 57 citizen feedback of participation 50 marks 50 6,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,85 5 43 distribution of teaches as per their opinion on the sufficiency of teachers in their schools,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",the development and research services drs has been commissioned to undertake the sample survey and study the status of implementation of section 12 1 c of the rte act 2009 in delhi karnataka and madhya pradesh,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,among all the registers only the attendance register of staff is well maintained in all the schools,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,sufficient computers should be provided to all the kgbvs,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,almost all of the participating states reported that their on site cooking facilities are equipped with storage facilities and 68 reported that at least half of these kitchens had piped water,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",if the successful applicant fails to approach report the school up to 31st march of the academic year for completing the formalities for admission under ews dg category his candidature is cancelled,for,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",further the drop out rate was maximum 1 04 in class 1 and minimum 0 in all other classes,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,equally experience from different parts of the country with respect to continuous assessment needs to be fed in,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,for achieving the overall goal of the scheme it is essential that the kgbvs keep contact with all the pass outs,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,xii the details of students admitted in the last three years in the classes vi to viii are as below,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,in each of the states five districts were chosen,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",as per rte act 2009 25 seats in all entry levels nursery kindergarten and class 1 in all private schools development and research services pvt,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the budget amount was not found sufficient in certain cases,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,34 swachh survekshan grameen 2022 3 the total number of households in the village by caste groups such as sc st and others was collected,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,table 8 65 distribution of ex students as per the number of years they have spent in kgbv state 1 0 2 0 3 0 4 0 4 total uttar pradesh 1 2 24 0 3 30 3 3 6 7 80 0 0 0 10 0 100 0 normally a girl is expected to spend three years in kgbv,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,first was online participation of citizens using mobile app and web platform second was feedback from key informants and third was from face to face interviews of citizens,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",if the applicant has been allotted the school the screen will show the allotted school name,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,only one teacher has said that the condition needs improvement,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it will also help the students to enhance their general knowledge,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,sbm g has achieved the seemingly impossible task of 100 percent rural sanitation coverage and transformed india into an open defecation free odf country in a time bound manner during phase i 2014 19,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,ten states provided dry rations food grains only two states provided a fsa cash transfers only and 21 states provided a combination of dry rations and a transfer for the cooking cost,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,all the hostel must have a compound wall,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,the goal of this baseline survey and future updates planned for every two to three years in the future is to support stakeholders to better implement manage document and advocate for school meal programs,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",yes 7 70 7 70 14 70 no 3 30 3 30 6 30 total 10 100 0 10 100 0 20 100 0 one of the objectives of the rte act is the retention of children in schools for development and research services pvt,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,in many schools there is no permanent teacher,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,another one fourth have said that it is just good and the rest about 17 percent have said it needs improvement,neutral,,,,,,,,,,,,,,,
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,the free education at he level will boost ger of higher education in the country by allocating free merit based seats for merit based students which is an important highlight of nep 2020,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,the provision of eggs has been somewhat contentious given preferences for a vegetarian diet,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",under mp rte rules commissioner rajya shiksha kendra rsk who is the mission director of ssa is responsible for management of elementary education at state level,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,on tests and examinations from girls tests and examinations are part of evaluation methods of the performance of the students and are expected to be conducted at regular intervals,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,procedure of selection should be rigorous and transparent,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",table 2 12 admissions in entry class in sample schools from 2015 to 2018 in rural delhi year admission taken left out without tc boys girls total boys girls total no,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,more than three fourth of the students have said that good light is available in the class rooms,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,hence the girls contacted were asked about the level of their satisfaction on these two factors,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,there is one hostel within the school premises with separate compound and two hostels adjacent to the school one with a compound and one without a compound,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",table 2 1 given below presents their distribution by gender educational and aided un aided categories,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the kgbvs have teaching staff full time and part time accountants fulltime part time assistants peons chowkidar head cooks and assistant cooks,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,chhattisgarh tops in mid day meal home delivery to school children during corona crisis chhattisgarh news september 15,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,government aided schools performed better in languages,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it has been seen all the 12 teachers interviewed are aware of various facilities provisions for the girls under the scheme and all of them are also satisfied with the facilities provisions made under the scheme,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,general category students performed better in all the subjects in comparison to other social groups,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,parents could be asked to give an assurance that they will not get their daughters married before they turn 18 and that they will retain the girls in the kgbv till they complete class 8,neutral,,,,,,,,,,,,,,,
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,age frequency chart 2 with respect to the current survey results the frequency chart 2 is created out of the survey responses received from several people,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",overall drop out rate was 0 45 n 1105 in urban area,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it is seen 88 percent of the girls are satisfied with availability of extra curricular activities and 73 percent were satisfied with audio visual aids,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",the head of school was responsible for cross verifying the eligibility of the students who applied for taking benefit under the act,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,vi the state has got separate bank accounts for kgbv funds,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the findings of the study revealed that the monitoring from different sources was not satisfactory,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,however just over half 58 of the participating states report that they ensure menstrual hygiene for female students,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the perception of girls teachers parents and community on kgbv scheme for enhancing the participation of muslim girls,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,viii a committee is constituted under gender cell to appoint govt teachers and vacancies are estimated and advertised,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,202 vii there is a specified curriculum for the training of staff and they have been trained in the past three years,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,girls exposure to bridge course the girls who are either drop outs or those who had no formal education are admitted to appropriate classes in the kgbv schools,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",lack of awareness and knowledge among target groups,against,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",it also exceeds 25 in pre school nursery level pre primary kg class 1 and 3 levels in case of new admissions,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",seats are allotted through online lottery with the help of software developed by nic at the head office,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,it would be worthwhile for states to learn from one another s experiences in managing the mid day meals in the context of such an emergency,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,all the schools have supplied the text books to all the students,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,not allowing any male person to the hostel promises providing boundary wall,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,an online self reporting format was developed and hosted at ssg website wherein district level office was asked to update their progress on key sanitation parameters,for,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",parents had to pay for uniforms and text books in all schools,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the toilets bathrooms class rooms hostel rooms are generally kept fairly neat,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,quality of drinking water sanitation curriculum and teaching methods was very good in 50 to 60 schools,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,school meal programs around the world report based on the 2019 global survey of school meal programs,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",yes 7 70 7 70 14 70 no 3 30 3 30 6 30 total 10 100 0 10 100 0 20 100 0 table 2 8 distribution of schools by area that follows up with dropout studentsin delhi list of items distribution of schools rural urban total no,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,all but one of the 12 teachers interviewed have said that they do conduct meetings to discuss issues related to schools and the study,against,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,table 4 65 distribution of girls as per year of joining year of joining total 2014 2015 2016 2017 2018 0 10 27 11 12 60 0 0 16 7 45 0 18 3 20 0 100 0 it has been seen maximum number of girls contacted have joined the schools in the year 2016,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,all the schools should maintain the health records of the girls,neutral,,,,,,,,,,,,,,,
